tweet_id,retweet count,favorite count
1561077093294678016,156,2856
1561043676142325766,15,0
1560705882849247232,697,21664
1556675681454592000,3,991
1496244425869361155,2511,0
1496180778337771529,0,36
1496174189333684225,4793,90215
1495915651810349058,4828,79164
1495893628744777728,6,1105
1495801507970785281,0,212
1494785865574461443,0,10
1494784347601203201,182,0
1494782447174705155,0,350
1494782368577732618,0,12
1556675678904483845,14,1292
1494779947386294272,1,386
1494776085355155458,0,334
1494775897534218246,0,206
1494774843371368453,126,5150
1494774836895309849,1238,28979
1494750696394170380,0,30
1494733652894228490,1006,13609
1494718791099551747,0,32
1494483940014317570,0,10
1494482477997461511,6,757
1556675221347868680,6,975
1494480054662750208,10620,105149
1494477578475753472,5,154
1494431715187572767,0,64
1494376028638171136,5091,79096
1494099310505598977,0,283
1494097323063975943,0,90
1494097215383650310,0,83
1494096097416986626,0,160
1494093944761638912,3865,49204
1493739507828465671,2971,59847
1556674513684815874,6116,123877
1493684834409103364,1,159
1493679543231647745,5936,99433
1493635082350784514,1,71
1493634531936636929,884,23448
1493310758893015040,2,390
1493310577208397833,0,249
1493310408580599810,3,471
1493305097140555783,0,202
1493304274566144004,0,209
1493301414017351690,8795,95582
1555971809740083200,0,452
1493248562561495046,0,14
1493053441555329025,2176,0
1493043377046048771,2,432
1493043162197082114,0,343
1493042796860608513,1456,30646
1493006074378547202,1840,22268
1492951745768484864,1,144
1492933864292945921,4,593
1492932250823921667,101,0
1492930520447029249,35,2941
1555969751242813440,0,461
1492929767519051777,2176,32926
1492583387709665280,0,11
1492575688984981505,4099,71276
1492228311371628549,90,3149
1492228305323499521,802,22474
1492214627186454545,221,10515
1492206485534822405,0,42
1492187643261734913,1432,19758
1491944114811662339,4,759
1491943300193943552,0,121
1555967188057526272,2210,52371
1491937497428881415,2,872
1491932965042999296,3961,62837
1491829429915553796,3092,39029
1491827877553315851,0,13
1491583784239566848,3,301
1491583190825246720,3418,69081
1491532021637828610,0,34
1491517794596315141,0,26
1491509231702269952,0,84
1491508687550124034,0,62
1555633656688943106,70,2190
1491507446459760642,1,286
1491506382230540289,498,13134
1491504590428282884,0,39
1491486660210483201,0,71
1491478144641028096,0,6
1491473224403619840,46,0
1491442583691993090,0,79
1491214824126414848,143,0
1491195263129583616,0,197
1491173422554284032,0,235
1555633647650217986,559,14406
1491171997854109697,1,164
1491160442034876416,0,108
1491138983698464768,0,368
1491109764142891008,1,466
1491106492870578184,0,329
1491106336142405635,2,851
1491106086832975878,0,242
1491105176656429062,1,211
1491104797659111424,8,1061
1491104675831365632,0,411
1555597006176784390,1674,12333
1491104549339164672,0,479
1491103582984282112,0,601
1491103056653692932,1,1006
1491098228678606849,2596,44945
1490795802704465923,942,19259
1490738006235488262,1,12
1490736746681753606,6486,106551
1490117780623921154,12,1907
1490040977347657731,0,829
1490040494818148356,4040,61693
1560671758058786816,0,109
1555318149163241472,1,327
1489761752170450944,0,291
1489761045463719938,1493,52411
1489698523402670083,0,109
1489695447874686979,0,7
1489695009075077120,0,9
1489693891754397696,1,511
1489693140315299842,91,4122
1489693133860478979,780,18513
1489671497325154306,0,45
1489664317637074949,173,0
1555316144910860290,0,530
1489661584469200896,13,1382
1489661253316268032,935,16052
1489335136147677200,1,9
1489333289680789505,0,5
1489311879847727104,0,48
1489309089372852226,0,23
1489307559953526785,269,7761
1488938976845180933,1,25
1488936614919389184,0,83
1488575173431283712,2,241
1555315928606429184,3,1307
1488574790604574722,771,0
1488566646490816513,1,794
1488564861978218496,0,8
1488524849735782406,2,359
1488353165531443203,0,10
1488319318861369344,10455,133505
1488242091159293952,0,49
1488222605354029059,4664,65333
1487486786548822017,4192,57335
1487173289340514310,0,31
